popularity,original_title,runtime,genres,release_year,budget_adj,revenue_adj,profit
32,Jurassic World,124,Action|Adventure|Science Fiction|Thriller,2015,137999939,1392445893,1254445954
28,Mad Max: Fury Road,120,Action|Adventure|Science Fiction|Thriller,2015,137999939,348161292,210161353
13,Insurgent,119,Adventure|Science Fiction|Thriller,2015,101199955,271619025,170419070
11,Star Wars: The Force Awakens,136,Action|Adventure|Science Fiction|Fantasy,2015,183999919,1902723130,1718723211
9,Furious 7,137,Action|Crime|Thriller,2015,174799923,1385748801,1210948878
9,The Revenant,156,Western|Drama|Adventure|Thriller,2015,124199945,490314247,366114302
8,Terminator Genisys,125,Science Fiction|Action|Thriller|Adventure,2015,142599937,405355075,262755138
7,The Martian,141,Drama|Adventure|Science Fiction,2015,99359956,547749654,448389698
7,Minions,91,Family|Animation|Adventure|Comedy,2015,68079970,1064192017,996112047
6,Inside Out,94,Comedy|Animation|Family,2015,160999929,785411574,624411645
6,Spectre,148,Action|Adventure|Crime,2015,225399900,810220283,584820383
6,Jupiter Ascending,124,Science Fiction|Fantasy|Action|Adventure,2015,161919931,169268630,7348699
6,Ex Machina,108,Drama|Science Fiction,2015,13799993,33919845,20119852
5,Pixels,105,Action|Comedy|Science Fiction,2015,80959964,224146025,143186061
5,Avengers: Age of Ultron,141,Action|Adventure|Science Fiction,2015,257599886,1292632337,1035032451
5,The Hateful Eight,167,Crime|Drama|Mystery|Western,2015,40479982,143299244,102819262
5,Taken 3,109,Crime|Action|Thriller,2015,44159980,299709578,255549598
5,Ant-Man,115,Science Fiction|Action|Adventure,2015,119599947,477113780,357513833
5,Cinderella,112,Romance|Fantasy|Family|Drama,2015,87399961,498963025,411563064
5,The Hunger Games: Mockingjay - Part 2,136,War|Adventure|Science Fiction,2015,147199935,598481289,451281354
5,Tomorrowland,130,Action|Family|Science Fiction|Adventure|Mystery,2015,174799923,192312729,17512806
5,Southpaw,123,Action|Drama,2015,27599987,84373003,56773016
4,San Andreas,114,Action|Drama|Thriller,2015,101199955,432851375,331651420
4,Fifty Shades of Grey,125,Drama|Romance,2015,36799983,524079119,487279136
4,The Big Short,130,Comedy|Drama,2015,25759988,122678731,96918743
4,Mission: Impossible - Rogue Nation,131,Action,2015,137999939,627743451,489743512
4,Ted 2,115,Comedy,2015,62559972,198594430,136034458
4,Kingsman: The Secret Service,130,Crime|Comedy|Action|Adventure,2015,74519967,371497801,296977834
4,Spotlight,128,Drama|Thriller|History,2015,18399991,81278719,62878728
3,Maze Runner: The Scorch Trials,132,Action|Science Fiction|Thriller,2015,56119975,286356245,230236270
3,Chappie,120,Crime|Action|Science Fiction,2015,45079980,93903685,48823705
3,Pitch Perfect 2,115,Comedy|Music,2015,26679988,264505582,237825594
3,Bridge of Spies,141,Thriller|Drama,2015,36799983,149601569,112801586
3,Goosebumps,103,Adventure|Horror|Comedy,2015,53359976,138157089,84797113
3,Room,117,Drama|Thriller,2015,5519997,32569603,27049606
3,The Good Dinosaur,93,Adventure|Animation|Comedy|Family|Fantasy,2015,160999929,305371920,144371991
3,Run All Night,114,Action|Crime|Drama|Mystery|Thriller,2015,45999979,65836683,19836704
3,Brooklyn,111,Drama|Romance,2015,10119995,57110024,46990029
3,Straight Outta Compton,147,Drama|Music,2015,25759988,185504110,159744122
3,The Last Witch Hunter,106,Fantasy|Action|Adventure,2015,82799963,129164861,46364898
